Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2019-09-30;136.83;137.99;136.56;137.8;17280900;0.0;0
2019-10-01;138.42;139.01;135.79;135.85;21466600;0.0;0
2019-10-02;135.04;135.16;132.4;133.46;30521700;0.0;0
2019-10-03;133.75;135.54;132.04;135.07;24132900;0.0;0
2019-10-04;135.54;137.02;135.21;136.9;22897700;0.0;0
2019-10-07;135.92;136.95;135.81;135.9;15303700;0.0;0
2019-10-08;135.86;136.54;134.42;134.47;25550500;0.0;0
2019-10-09;136.24;137.47;135.76;137.01;19749900;0.0;0
2019-10-10;137.26;138.43;137.02;137.87;17654600;0.0;0
2019-10-11;138.88;139.78;138.26;138.44;25446000;0.0;0
2019-10-14;138.45;139.05;138.28;138.31;13304300;0.0;0
2019-10-15;138.82;140.53;138.57;140.31;19695700;0.0;0
2019-10-16;139.54;139.74;138.29;139.17;20751600;0.0;0
2019-10-17;139.7;140.17;137.79;138.45;21460600;0.0;0
2019-10-18;138.52;138.76;135.35;136.19;32273500;0.0;0
2019-10-21;137.22;137.27;135.8;137.2;20078200;0.0;0
2019-10-22;137.74;138.77;135.05;135.16;27431000;0.0;0
2019-10-23;135.67;136.23;134.41;136.02;29844600;0.0;0
2019-10-24;138.15;139.18;137.44;138.7;37029300;0.0;0
2019-10-25;138.1;139.89;137.97;139.48;25959700;0.0;0
2019-10-28;143.12;144.38;142.24;142.91;35280100;0.0;0
2019-10-29;142.8;143.22;141.39;141.56;20589500;0.0;0
2019-10-30;142.25;143.71;141.52;143.33;18496600;0.0;0
2019-10-31;143.62;143.64;141.72;142.1;24605100;0.0;0
2019-11-01;142.98;143.14;141.7;142.45;33128400;0.0;0
2019-11-04;143.55;143.71;142.88;143.27;16912000;0.0;0
2019-11-05;143.68;143.73;142.63;143.18;18250200;0.0;0
2019-11-06;143.09;143.24;141.93;142.78;16575800;0.0;0
2019-11-07;142.56;143.6;142.5;142.98;17786700;0.0;0
2019-11-08;142.7;144.7;142.49;144.67;16732700;0.0;0
2019-11-11;144.05;145.12;143.45;144.81;14362600;0.0;0
2019-11-12;144.98;146.26;144.76;145.77;18641600;0.0;0
2019-11-13;145.44;146.15;144.98;146.0;16919200;0.0;0
2019-11-14;145.72;147.09;145.7;146.75;19729800;0.0;0
2019-11-15;147.61;148.66;146.96;148.64;23485700;0.0;0
2019-11-18;148.74;149.22;147.66;149.01;21534000;0.0;0
2019-11-19;149.54;149.99;148.87;149.06;23935700;0.0;0
2019-11-20;149.48;150.01;147.64;148.8;25696800;0.51;0
2019-11-21;148.58;148.98;147.68;148.66;18576100;0.0;0
2019-11-22;149.25;149.47;148.0;148.77;15901800;0.0;0
